country,region,year,Business_as_Usual_CO2_MT,Moderate_Transition_CO2_MT,Accelerated_Transition_CO2_MT
Brazil,LatAm,2030,493.67347122302164,446.71415065799636,383.0387856050335
Canada,North America,2026,570.1173048275547,558.7513048275547,541.7023048275546
Canada,North America,2027,571.9404210167779,549.3630488236757,516.3494405340224
Canada,North America,2028,573.769367151192,540.1325362559783,492.18314628488184
Canada,North America,2029,575.6041618737449,531.0571166863353,469.14788798134435
Canada,North America,2030,577.4448238870016,522.1341842098343,447.1907306430999
Chile,LatAm,2026,88.4439930128048,86.68199301280478,84.03899301280478
Chile,LatAm,2027,88.78932917195304,85.28680945144085,80.16517987067256
Chile,LatAm,2028,89.1360137218597,83.91408196315788,76.46993179366277
Chile,LatAm,2029,89.48405192741694,82.56344910790443,72.94501774911788
Chile,LatAm,2030,89.83344907407405,81.23455526316046,69.58258611733301
China,Asia,2026,12465.900158993361,12221.536158993362,11854.990158993362
China,Asia,2027,12718.621955279068,12224.873228919334,11502.577439379731
China,Asia,2028,12976.4671927526,12228.211210026648,11160.640875653187
China,Asia,2029,13239.539739184722,12231.550102564093,10828.86904363389
China,Asia,2030,13507.945568062543,12234.889906780545,10506.959776833544
Colombia,LatAm,2026,94.96551077381527,93.11551077381526,90.34051077381525
Colombia,LatAm,2027,97.49673769223375,93.73511726128115,88.23143661485223
Colombia,LatAm,2028,100.09543236458016,94.35884671597472,86.17160054154871
Colombia,LatAm,2029,102.76339308787281,94.98672657282299,84.15985304995336
Colombia,LatAm,2030,105.50246609124538,95.61878444930966,82.19507147223806
Czech Republic,Europe,2026,89.20169084591957,87.40169084591957,84.70169084591957
Czech Republic,Europe,2027,88.41046277523346,84.87839514139668,79.71529369064149
Czech Republic,Europe,2028,87.62625297801173,82.42794724051282,75.0224462430711
Czech Republic,Europe,2029,86.84899920145492,80.04824401976745,70.60586720205809
Czech Republic,Europe,2030,86.07863974495218,77.73724307304938,66.44929261840862
Denmark,Europe,2026,24.285577868946937,23.785577868946937,23.035577868946934
